var_name,type,index_flag
TradingDay,DATE,1
NodeID,VARCHAR(2),1
ExchangeKernel,VARCHAR(14),1
count,FLOAT,0
mean,FLOAT,0
std,FLOAT,0
min,FLOAT,0
percent50,FLOAT,0
percent90,FLOAT,0
percent99,FLOAT,0
max,FLOAT,0
