index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
63,602658488,602658492,602658495,602658504,602658513,602658514,602658505,602728243,602728243,602728246,602728250,602728254,4,3,9,18,1,-8,69738,0,3,4,4,69766
66,602658491,602658495,602658541,602658546,602658552,602658576,602658555,602727942,602727942,602727945,602727949,602727953,4,46,5,11,24,3,69387,0,3,4,4,69462
67,602658621,602658623,602658626,602658634,602658643,602658644,602658635,602728103,602728103,602728106,602728111,602728115,2,3,8,17,1,-8,69468,0,3,5,4,69494
68,602658622,602658624,602658645,602658649,602658655,602658676,602658663,602728459,602728459,602728462,602728466,602728470,2,21,4,10,21,8,69796,0,3,4,4,69848
70,602658871,602658874,602658895,602658901,602658908,602658929,602658914,602727794,602727794,602727797,602727801,602727805,3,21,6,13,21,6,68880,0,3,4,4,68934
71,602658872,602658874,602658910,602658914,602658920,602658929,602658934,602728532,602728532,602728535,602728538,602728542,2,36,4,10,9,14,69598,0,3,3,4,69670
73,602659023,602659026,602659047,602659053,602659060,602659080,602659068,602728602,602728602,602728605,602728609,602728613,3,21,6,13,20,8,69534,0,3,4,4,69590
75,602659390,602659392,602659394,602659400,602659408,602659408,602659401,602728763,602728763,602728766,602728769,602728773,2,2,6,14,0,-7,69362,0,3,3,4,69383
77,602659620,602659623,602659644,602659650,602659657,602659677,602659662,602728906,602728906,602728909,602728913,602728917,3,21,6,13,20,5,69244,0,3,4,4,69297
78,602659980,602659983,602659991,602659999,602660009,602660010,602660001,602728681,602728681,602728684,602728687,602728691,3,8,8,18,1,-8,68680,0,3,3,4,68711
80,602659991,602659992,602660025,602660030,602660037,602660073,602660050,602729060,602729060,602729063,602729067,602729071,1,33,5,12,36,13,69010,0,3,4,4,69080
84,602660291,602660294,602660323,602660329,602660336,602660355,602660336,602729132,602729132,602729135,602729139,602729143,3,29,6,13,19,0,68796,0,3,4,4,68852
85,602660548,602660552,602660554,602660562,602660572,602660572,602660564,602729283,602729283,602729286,602729290,602729294,4,2,8,18,0,-8,68719,0,3,4,4,68746
86,602660549,602660553,602660574,602660579,602660585,602660609,602660593,602758108,602758108,602758110,602758114,602758119,4,21,5,11,24,8,97515,0,2,4,5,97570
87,602660550,602660553,602660586,602660590,602660597,602660609,602660593,602729428,602729428,602729431,602729435,602729439,3,33,4,11,12,-4,68835,0,3,4,4,68889
90,602660620,602660622,602660624,602660629,602660637,602660661,602660651,602758888,602758888,602758891,602758895,602758900,2,2,5,13,24,14,98237,0,3,4,5,98280
91,602660938,602660939,602660942,602660951,602660961,602660961,602660952,602758134,602758134,602758137,602758141,602758146,1,3,9,19,0,-9,97182,0,3,4,5,97208
92,602660938,602660940,602660962,602660967,602660974,602660997,602660981,602758968,602758968,602758971,602758975,602758979,2,22,5,12,23,7,97987,0,3,4,4,98041
93,602660938,602660941,602660975,602660979,602660990,602661016,602660981,602758232,602758232,602758235,602758238,602758242,3,34,4,15,26,-9,97251,0,3,3,4,97304
94,602661308,602661309,602661312,602661320,602661330,602661330,602661321,602730101,602730101,602730104,602730108,602730112,1,3,8,18,0,-9,68780,0,3,4,4,68804
95,602661308,602661311,602661331,602661335,602661341,602661363,602661350,602729497,602729497,602729500,602729503,602729508,3,20,4,10,22,9,68147,0,3,3,5,68200
96,602661640,602661642,602661645,602661654,602661663,602661664,602661655,602730248,602730248,602730251,602730255,602730259,2,3,9,18,1,-8,68593,0,3,4,4,68619
97,602661640,602661644,602661665,602661669,602661675,602661696,602661670,602729572,602729572,602729574,602729578,602729582,4,21,4,10,21,-5,67902,0,2,4,4,67942
98,602661640,602661644,602661676,602661680,602661686,602661696,602661688,602730404,602730404,602730407,602730411,602730415,4,32,4,10,10,2,68716,0,3,4,4,68775
99,602661640,602661645,602661687,602661690,602661698,602661724,602661712,602758330,602758330,602758333,602758336,602758341,5,42,3,11,26,14,96618,0,3,3,5,96701
100,602661641,602661645,602661699,602661703,602661708,602661724,602661712,602730550,602730550,602730553,602730557,602730561,4,54,4,9,16,4,68838,0,3,4,4,68920
101,602661641,602661645,602661709,602661713,602661718,602661724,602661745,602729644,602729644,602729647,602729651,602729655,4,64,4,9,6,27,67899,0,3,4,4,68014
102,602661660,602661663,602661719,602661723,602661728,602661750,602661745,602758441,602758441,602758444,602758448,602758452,3,56,4,9,22,17,96696,0,3,4,4,96792
103,602661741,602661743,602661746,602661754,602661761,602661777,602661767,602759203,602759203,602759206,602759210,602759214,2,3,8,15,16,6,97436,0,3,4,4,97473
104,602662225,602662227,602662230,602662238,602662248,602662249,602662239,602730696,602730696,602730699,602730703,602730708,2,3,8,18,1,-9,68457,0,3,4,5,68483
105,602662225,602662228,602662249,602662254,602662260,602662283,602662270,602758669,602758669,602758672,602758676,602758680,3,21,5,11,23,10,96399,0,3,4,4,96455
106,602662373,602662374,602662377,602662386,602662394,602662395,602662387,602759277,602759277,602759279,602759283,602759287,1,3,9,17,1,-7,96890,0,2,4,4,96914
107,602662373,602662376,602662396,602662401,602662406,602662429,602662414,602758743,602758743,602758746,602758750,602758754,3,20,5,10,23,8,96329,0,3,4,4,96381
108,602662569,602662570,602662574,602662582,602662591,602662591,602662583,602729719,602729719,602729722,602729725,602729729,1,4,8,17,0,-8,67136,0,3,3,4,67160
109,602662569,602662572,602662592,602662596,602662602,602662623,602662610,602757825,602757825,602757829,602757835,602757841,3,20,4,10,21,8,95215,0,4,6,6,95272
110,602662649,602662650,602662653,602662661,602662669,602662670,602662662,602729955,602729955,602729958,602729962,602729966,1,3,8,16,1,-7,67293,0,3,4,4,67317
111,602662915,602662918,602662921,602662929,602662938,602662939,602662930,602730027,602730027,602730030,602730034,602730039,3,3,8,17,1,-8,67097,0,3,4,5,67124
112,602662915,602662919,602662940,602662944,602662949,602662973,602662957,602757909,602757909,602757913,602757918,602757922,4,21,4,9,24,8,94952,0,4,5,4,95007
113,602662915,602662920,602662950,602662954,602662960,602662973,602662957,602758010,602758010,602758013,602758018,602758022,5,30,4,10,13,-3,95053,0,3,5,4,95107
147,604829396,604829398,604829400,604829417,604829432,604829433,604829419,604867702,604867702,604867971,604867978,604868995,2,2,17,32,1,-13,38283,0,269,7,1017,39599
204,612666264,612666266,612666268,612666281,612666296,612666297,612666283,612730571,612730571,612730574,612730579,612730583,2,2,13,28,1,-13,64288,0,3,5,4,64319
205,612666395,612666396,612666479,612666489,612666500,612666500,612666490,612730697,612730697,612730699,612730703,612730708,1,83,10,21,0,-10,64207,0,2,4,5,64313
206,612666590,612666591,612666674,612666682,612666693,612666694,612666683,612730929,612730929,612730932,612730936,612730940,1,83,8,19,1,-10,64246,0,3,4,4,64350
207,612666662,612666665,612666695,612666700,612666707,612666726,612666712,612731007,612731007,612731010,612731014,612731019,3,30,5,12,19,5,64295,0,3,4,5,64357
208,612666921,612666923,612666926,612666934,612666944,612666945,612666936,612730770,612730770,612730773,612730777,612730781,2,3,8,18,1,-8,63834,0,3,4,4,63860
210,612667247,612667248,612667251,612667260,612667271,612667272,612667262,612730851,612730851,612730854,612730858,612730862,1,3,9,20,1,-9,63589,0,3,4,4,63615
213,612667409,612667410,612667478,612667485,612667493,612667519,612667502,612731138,612731138,612731141,612731146,612731150,1,68,7,15,26,9,63636,0,3,5,4,63741
214,612667735,612667736,612667739,612667748,612667758,612667759,612667749,612731788,612731788,612731792,612731796,612731800,1,3,9,19,1,-9,64039,0,4,4,4,64065
