,TradingDay,NodeID,ExchangeKernel,count,mean,std,min,percent50,percent90,percent99,max
0,20200604,2,SSEkernel,6.0,19.83,1.17,18.0,20.0,21.0,21.0,21.0
1,20200604,2,SSErtt,6.0,172486.5,27839.61,123994.0,178816.5,195352.0,206019.7,207205.0
2,20200604,2,SZSEkernel,4374.0,19.84,9.46,9.0,16.0,34.0,59.0,93.0
3,20200604,2,SZSErtt,4374.0,3150.26,514.73,2151.0,3307.0,3623.7,3925.78,15636.0
4,20200604,3,SSEkernel,6.0,19.83,1.17,18.0,20.0,21.0,21.0,21.0
5,20200604,3,SSErtt,6.0,172486.5,27839.61,123994.0,178816.5,195352.0,206019.7,207205.0
6,20200604,3,SZSEkernel,4374.0,19.84,9.46,9.0,16.0,34.0,59.0,93.0
7,20200604,3,SZSErtt,4374.0,3150.26,514.73,2151.0,3307.0,3623.7,3925.78,15636.0
