3_SSEkernel_rtt:{'count': 58736.0, 'mean': 117112.94, 'std': 27880.24, 'min': 33228.0, '50%': 114452.5, '90%': 153003.5, '99%': 199799.95, 'max': 481719.0}
3_SZSEkernel_rtt:{'count': 445.0, 'mean': 59167.38, 'std': 17331.93, 'min': 34177.0, '50%': 64659.0, '90%': 70806.8, '99%': 97517.8, 'max': 98280.0}
3_SSEkernel_rtt:{'count': 58736.0, 'mean': 117112.94, 'std': 27880.24, 'min': 33228.0, '50%': 114452.5, '90%': 153003.5, '99%': 199799.95, 'max': 481719.0}
3_SZSEkernel_rtt:{'count': 445.0, 'mean': 59167.38, 'std': 17331.93, 'min': 34177.0, '50%': 64659.0, '90%': 70806.8, '99%': 97517.8, 'max': 98280.0}
3_SSEkernel_rtt:{'count': 58736.0, 'mean': 117112.94, 'std': 27880.24, 'min': 33228.0, '50%': 114452.5, '90%': 153003.5, '99%': 199799.95, 'max': 481719.0}
3_SZSEkernel_rtt:{'count': 445.0, 'mean': 59167.38, 'std': 17331.93, 'min': 34177.0, '50%': 64659.0, '90%': 70806.8, '99%': 97517.8, 'max': 98280.0}
3_SSEkernel_rtt:{'count': 58736.0, 'mean': 117112.94, 'std': 27880.24, 'min': 33228.0, '50%': 114452.5, '90%': 153003.5, '99%': 199799.95, 'max': 481719.0}
3_SZSEkernel_rtt:{'count': 445.0, 'mean': 59167.38, 'std': 17331.93, 'min': 34177.0, '50%': 64659.0, '90%': 70806.8, '99%': 97517.8, 'max': 98280.0}
3_SSEkernel_rtt:{'count': 58736.0, 'mean': 117112.94, 'std': 27880.24, 'min': 33228.0, '50%': 114452.5, '90%': 153003.5, '99%': 199799.95, 'max': 481719.0}
3_SZSEkernel_rtt:{'count': 445.0, 'mean': 59167.38, 'std': 17331.93, 'min': 34177.0, '50%': 64659.0, '90%': 70806.8, '99%': 97517.8, 'max': 98280.0}
3_SSEkernel_rtt:{'count': 58736.0, 'mean': 117112.94, 'std': 27880.24, 'min': 33228.0, '50%': 114452.5, '90%': 153003.5, '99%': 199799.95, 'max': 481719.0}
3_SZSEkernel_rtt:{'count': 445.0, 'mean': 59167.38, 'std': 17331.93, 'min': 34177.0, '50%': 64659.0, '90%': 70806.8, '99%': 97517.8, 'max': 98280.0}
