index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
26,629942848,629942849,629942851,629942858,629942864,629942875,629942866,629946167,0,629946170,629946172,629946178,1,2,7,13,11,2,3301,-629946167,629946170,2,6,3330
27,630223322,630223323,630223324,630223329,630223336,630223337,630223336,630226625,0,630226628,630226630,630226634,1,1,5,12,1,0,3289,-630226625,630226628,2,4,3312
28,630232859,630232860,630232862,630232865,630232871,630232879,630232872,630235993,0,630235996,630235998,630236003,1,2,3,9,8,1,3121,-630235993,630235996,2,5,3144
29,630312018,630312019,630312021,630312024,630312030,630312038,630312031,630315367,0,630315370,630315374,630315378,1,2,3,9,8,1,3336,-630315367,630315370,4,4,3360
30,630751296,630751297,630751299,630751304,630751309,630751319,630751311,630754087,0,630754089,630754093,630754098,1,2,5,10,10,2,2776,-630754087,630754089,4,5,2802
31,631183991,631183992,631183994,631184000,631184008,631184020,631184011,631187174,0,631187176,631187179,631187184,1,2,6,14,12,3,3163,-631187174,631187176,3,5,3193
32,632523039,632523040,632523042,632523049,632523055,632523066,632523058,632526338,0,632526341,632526343,632526348,1,2,7,13,11,3,3280,-632526338,632526341,2,5,3309
33,632528120,632528121,632528123,632528128,632528132,632528143,632528135,632530805,0,632530807,632530810,632530814,1,2,5,9,11,3,2670,-632530805,632530807,3,4,2694
34,634842943,634842944,634842946,634842952,634842959,634842969,634842960,634846293,0,634846296,634846299,634846303,1,2,6,13,10,1,3333,-634846293,634846296,3,4,3360
35,635767878,635767878,635767880,635767886,635767892,635767903,635767894,635771202,0,635771205,635771207,635771212,0,2,6,12,11,2,3308,-635771202,635771205,2,5,3334
36,635768728,635768729,635768731,635768737,635768745,635768755,635768744,635771941,0,635771943,635771946,635771949,1,2,6,14,10,-1,3197,-635771941,635771943,3,3,3221
37,635824397,635824398,635824401,635824415,635824426,635824427,635824416,636187889,636187889,636187891,636187895,636187900,1,3,14,25,1,-10,363473,0,2,4,5,363503
38,635824963,635824964,635824966,635824973,635824979,635824981,635824974,636327556,636327556,636327557,636327560,636327565,1,2,7,13,2,-5,502582,0,1,3,5,502602
39,635825037,635825038,635825039,635825046,635825053,635825054,635825047,636327572,636327572,636327574,636327576,636327580,1,1,7,14,1,-6,502525,0,2,2,4,502543
40,636934862,636934863,636934865,636934873,636934880,636934891,636934882,636937252,0,636937255,636937257,636937262,1,2,8,15,11,2,2370,-636937252,636937255,2,5,2400
41,637737371,637737372,637737374,637737380,637737386,637737397,637737388,637740516,0,637740519,637740522,637740526,1,2,6,12,11,2,3128,-637740516,637740519,3,4,3155
42,637739655,637739656,637739658,637739664,637739668,637739678,637739670,637741785,0,637741787,637741790,637741793,1,2,6,10,10,2,2115,-637741785,637741787,3,3,2138
43,637741838,637741839,637741841,637741844,637741848,637741865,637741859,637743907,0,637743909,637743912,637743917,1,2,3,7,17,11,2048,-637743907,637743909,3,5,2079
44,638087823,638087824,638087825,638087831,638087836,638087846,638087838,638090843,0,638090845,638090850,638090854,1,1,6,11,10,2,3005,-638090843,638090845,5,4,3031
45,638195275,638195276,638195278,638195283,638195288,638195299,638195290,638198605,0,638198610,638198612,638198617,1,2,5,10,11,2,3315,-638198605,638198610,2,5,3342
46,638410336,638410337,638410339,638410346,638410351,638410361,638410353,638413108,0,638413110,638413113,638413118,1,2,7,12,10,2,2755,-638413108,638413110,3,5,2782
47,638413415,638413416,638413418,638413421,638413425,638413434,638413427,638416521,0,638416524,638416527,638416531,1,2,3,7,9,2,3094,-638416521,638416524,3,4,3116
48,639911098,639911099,639911101,639911106,639911113,639911123,639911115,639913738,0,639913741,639913744,639913748,1,2,5,12,10,2,2623,-639913738,639913741,3,4,2650
49,640034598,640034599,640034601,640034608,640034614,640034626,640034618,640037733,0,640037735,640037738,640037743,1,2,7,13,12,4,3115,-640037733,640037735,3,5,3145
50,640204463,640204464,640204466,640204472,640204480,640204489,640204479,640207577,0,640207580,640207582,640207587,1,2,6,14,9,-1,3098,-640207577,640207580,2,5,3124
51,640451418,640451419,640451421,640451426,640451432,640451433,640451432,640454774,0,640454777,640454779,640454784,1,2,5,11,1,0,3342,-640454774,640454777,2,5,3366
52,640455467,640455468,640455469,640455473,640455478,640455487,640455479,640458642,0,640458645,640458648,640458652,1,1,4,9,9,1,3163,-640458642,640458645,3,4,3185
53,640460250,640460251,640460252,640460256,640460262,640460270,640460262,640463617,0,640463619,640463621,640463627,1,1,4,10,8,0,3355,-640463617,640463619,2,6,3377
54,640499543,640499544,640499546,640499550,640499555,640499564,640499557,640502812,0,640502815,640502817,640502821,1,2,4,9,9,2,3255,-640502812,640502815,2,4,3278
55,641584209,641584210,641584212,641584218,641584227,641584238,641584226,641587237,0,641587239,641587244,641587249,1,2,6,15,11,-1,3011,-641587237,641587239,5,5,3040
56,641635982,641635983,641635985,641635988,641635995,641635995,641635995,641639286,0,641639289,641639291,641639296,1,2,3,10,0,0,3291,-641639286,641639289,2,5,3314
57,641650962,641650963,641650965,641650969,641650974,641650983,641650976,641654202,0,641654205,641654207,641654211,1,2,4,9,9,2,3226,-641654202,641654205,2,4,3249
58,641815942,641815943,641815944,641815950,641815956,641815965,641815957,641819311,0,641819314,641819318,641819322,1,1,6,12,9,1,3354,-641819311,641819314,4,4,3380
59,641819716,641819717,641819719,641819723,641819728,641819737,641819729,641822957,0,641822960,641822962,641822966,1,2,4,9,9,1,3228,-641822957,641822960,2,4,3250
60,642054869,642054870,642054872,642054877,642054882,642054891,642054884,642057134,0,642057137,642057139,642057144,1,2,5,10,9,2,2250,-642057134,642057137,2,5,2275
61,642627299,642627300,642627302,642627306,642627311,642627321,642627313,642629730,0,642629734,642629736,642629741,1,2,4,9,10,2,2417,-642629730,642629734,2,5,2442
62,643210930,643210931,643210933,643210938,643210946,643210956,643210945,643214032,0,643214034,643214036,643214041,1,2,5,13,10,-1,3087,-643214032,643214034,2,5,3111
63,643409014,643409015,643409017,643409021,643409027,643409035,643409027,643412503,0,643412506,643412509,643412514,1,2,4,10,8,0,3476,-643412503,643412506,3,5,3500
64,643575417,643575418,643575420,643575424,643575428,643575438,643575430,643578706,0,643578709,643578711,643578716,1,2,4,8,10,2,3276,-643578706,643578709,2,5,3299
65,643580537,643580537,643580539,643580543,643580547,643580557,643580550,643582809,0,643582811,643582814,643582818,0,2,4,8,10,3,2259,-643582809,643582811,3,4,2281
66,643660004,643660005,643660007,643660013,643660018,643660027,643660019,643662757,0,643662759,643662761,643662766,1,2,6,11,9,1,2738,-643662757,643662759,2,5,2762
67,644389178,644389179,644389180,644389187,644389192,644389203,644389194,644392141,0,644392144,644392146,644392151,1,1,7,12,11,2,2947,-644392141,644392144,2,5,2973
68,644407272,644407273,644407275,644407281,644407287,644407296,644407288,644410546,0,644410549,644410551,644410556,1,2,6,12,9,1,3258,-644410546,644410549,2,5,3284
69,644496520,644496521,644496523,644496527,644496532,644496543,644496534,644499181,0,644499184,644499186,644499191,1,2,4,9,11,2,2647,-644499181,644499184,2,5,2671
70,645220867,645220867,645220869,645220874,645220879,645220888,645220880,645223346,0,645223348,645223351,645223355,0,2,5,10,9,1,2466,-645223346,645223348,3,4,2488
71,645453936,645453937,645453939,645453943,645453947,645453957,645453949,645456928,0,645456932,645456934,645456939,1,2,4,8,10,2,2979,-645456928,645456932,2,5,3003
72,646409010,646409011,646409013,646409022,646409030,646409031,646409030,646411528,0,646411531,646411533,646411538,1,2,9,17,1,0,2498,-646411528,646411531,2,5,2528
73,646880373,646880374,646880376,646880382,646880390,646880400,646880390,646883596,0,646883599,646883601,646883606,1,2,6,14,10,0,3206,-646883596,646883599,2,5,3233
74,646884093,646884094,646884096,646884100,646884105,646884113,646884106,646887403,0,646887405,646887407,646887413,1,2,4,9,8,1,3297,-646887403,646887405,2,6,3320
75,647451044,647451045,647451047,647451053,647451058,647451069,647451060,647453944,0,647453946,647453950,647453955,1,2,6,11,11,2,2884,-647453944,647453946,4,5,2911
76,647465028,647465029,647465031,647465036,647465043,647465043,647465042,647468015,0,647468018,647468021,647468028,1,2,5,12,0,-1,2973,-647468015,647468018,3,7,3000
77,648182153,648182154,648182156,648182161,648182167,648182177,648182169,648185191,0,648185193,648185196,648185201,1,2,5,11,10,2,3022,-648185191,648185193,3,5,3048
78,648329389,648329390,648329391,648329395,648329399,648329410,648329402,648331807,0,648331809,648331811,648331816,1,1,4,8,11,3,2405,-648331807,648331809,2,5,2427
79,648440347,648440348,648440350,648440353,648440357,648440367,648440360,648443793,0,648443795,648443797,648443807,1,2,3,7,10,3,3433,-648443793,648443795,2,10,3460
80,648484591,648484592,648484593,648484597,648484601,648484613,648484605,648487617,0,648487621,648487623,648487626,1,1,4,8,12,4,3012,-648487617,648487621,2,3,3035
81,648496771,648496772,648496774,648496777,648496781,648496790,648496782,648499820,0,648499824,648499827,648499831,1,2,3,7,9,1,3038,-648499820,648499824,3,4,3060
82,648503308,648503309,648503310,648503313,648503317,648503326,648503319,648506447,0,648506450,648506452,648506456,1,1,3,7,9,2,3128,-648506447,648506450,2,4,3148
