index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,send_req_rtt,accept_req_rtt
4414,372961926,372961927,372961929,372961942,372961954,372961956,372961944,373143808,373143808,373143810,373143814,373143819,1,2,13,25,2,-10,181864,0,2,4,5,18,181893
4415,380123882,380123883,380123885,380123898,380123911,380123913,380123901,380286460,380286460,380286462,380286466,380286470,1,2,13,26,2,-10,162559,0,2,4,4,19,162588
4416,391603253,391603254,391603256,391603270,391603285,391603288,391603273,391810446,391810446,391810448,391810453,391810458,1,2,14,29,3,-12,207173,0,2,5,5,20,207205
4417,403739405,403739408,403739409,403739423,403739438,403739439,403739426,403915135,403915135,403915137,403915140,403915145,3,1,14,29,1,-12,175709,0,2,3,5,21,175740
4422,507973216,507973217,507973220,507973234,507973247,507973248,507973237,508156704,508156704,508156706,508156711,508156715,1,3,14,27,1,-10,183467,0,2,5,4,21,183499
4434,571544385,571544386,571544391,571544402,571544416,571544418,571544405,571668368,571668368,571668370,571668374,571668379,1,5,11,25,2,-11,123963,0,2,4,5,20,123994
