index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,send_req_rtt,accept_req_rtt
27,898731193,898731193,898731195,898731198,898731203,898731241,898731219,898734920,0,898734922,898734924,898734929,0,2,3,8,38,16,3701,-898734920,898734922,2,5,26,3736
28,898731208,898731209,898731211,898731214,898731220,898731235,898731224,898735174,0,898735176,898735177,898735193,1,2,3,9,15,4,3950,-898735174,898735176,1,16,16,3985
29,898731253,898731254,898731256,898731259,898731264,898731275,898731264,898734924,0,898734924,898734926,898734932,1,2,3,8,11,0,3660,-898734924,898734924,2,6,11,3679
30,898731277,898731278,898731280,898731284,898731289,898731310,898731294,898735181,0,898735182,898735184,898735196,1,2,4,9,21,5,3887,-898735181,898735182,2,12,17,3919
31,898731313,898731314,898731316,898731319,898731325,898731334,898731325,898735058,0,898735059,898735061,898735066,1,2,3,9,9,0,3733,-898735058,898735059,2,5,12,3753
32,898731337,898731338,898731340,898731344,898731349,898731358,898731348,898735227,0,898735229,898735231,898735237,1,2,4,9,9,-1,3879,-898735227,898735229,2,6,11,3900
33,898731456,898731457,898731459,898731462,898731468,898731479,898731469,898735168,0,898735170,898735172,898735187,1,2,3,9,11,1,3699,-898735168,898735170,2,15,13,3731
34,898731529,898731530,898731532,898731535,898731540,898731541,898731541,898734990,0,898734992,898734993,898734998,1,2,3,8,1,1,3449,-898734990,898734992,1,5,12,3469
35,898731576,898731576,898731578,898731582,898731587,898731597,898731587,898735428,0,898735430,898735432,898735437,0,2,4,9,10,0,3841,-898735428,898735430,2,5,11,3861
36,898731601,898731602,898731603,898731606,898731612,898731619,898731612,898734805,0,898734807,898734809,898734814,1,1,3,9,7,0,3193,-898734805,898734807,2,5,11,3213
37,898731635,898731635,898731637,898731640,898731645,898731655,898731644,898735172,0,898735172,898735174,898735190,0,2,3,8,10,-1,3528,-898735172,898735172,2,16,9,3555
38,200363904,200363906,200363908,200363923,200363933,200363935,200363931,200379529,0,200379533,200379535,200379540,2,2,15,25,2,-2,15598,-200379529,200379533,2,5,27,15636
39,200956340,200956341,200956343,200956348,200956354,200956363,200956356,200962491,0,200962493,200962497,200962500,1,2,5,11,9,2,6135,-200962491,200962493,4,3,16,6160
40,201067537,201067537,201067539,201067546,201067551,201067560,201067554,201070667,0,201070669,201070671,201070676,0,2,7,12,9,3,3113,-201070667,201070669,2,5,17,3139
41,201122918,201122919,201122921,201122925,201122930,201122940,201122933,201126154,0,201126157,201126159,201126164,1,2,4,9,10,3,3221,-201126154,201126157,2,5,15,3246
42,201697939,201697939,201697942,201697946,201697951,201697961,201697954,201701321,0,201701325,201701328,201701332,0,3,4,9,10,3,3367,-201701321,201701325,3,4,15,3393
43,202319464,202319465,202319466,202319472,202319478,202319488,202319481,202323020,0,202323022,202323025,202323029,1,1,6,12,10,3,3539,-202323020,202323022,3,4,17,3565
44,207456112,207456113,207456115,207456131,207456146,207456148,207456143,207459118,0,207459121,207459125,207459128,1,2,16,31,2,-3,2975,-207459118,207459121,4,3,31,3016
45,220305277,220305278,220305280,220305299,220305320,220305323,220305311,220308611,0,220308614,220308619,220308624,1,2,19,40,3,-9,3300,-220308611,220308614,5,5,34,3347
46,220305314,220305316,220305338,220305344,220305353,220305361,220305350,220309269,0,220309275,220309277,220309286,2,22,6,15,8,-3,3919,-220309269,220309275,2,9,36,3972
47,220305315,220305316,220305324,220305329,220305337,220305368,220305347,220309025,0,220309029,220309031,220309039,1,8,5,13,31,10,3678,-220309025,220309029,2,8,32,3724
48,220305375,220305376,220305378,220305384,220305394,220305412,220305393,220309400,0,220309407,220309409,220309417,1,2,6,16,18,-1,4007,-220309400,220309407,2,8,18,4042
49,220337500,220337501,220337503,220337511,220337518,220337519,220337518,220340619,0,220340622,220340625,220340629,1,2,8,15,1,0,3101,-220340619,220340622,3,4,18,3129
50,220337532,220337533,220337535,220337541,220337548,220337549,220337548,220340725,0,220340727,220340729,220340733,1,2,6,13,1,0,3177,-220340725,220340727,2,4,16,3201
51,220393342,220393343,220393345,220393350,220393357,220393366,220393358,220396592,0,220396595,220396597,220396601,1,2,5,12,9,1,3234,-220396592,220396595,2,4,16,3259
52,220393349,220393350,220393358,220393362,220393368,220393379,220393374,220396727,0,220396732,220396734,220396740,1,8,4,10,11,6,3353,-220396727,220396732,2,6,25,3391
53,220393427,220393428,220393430,220393434,220393440,220393451,220393442,220396921,0,220396923,220396926,220396937,1,2,4,10,11,2,3479,-220396921,220396923,3,11,15,3510
54,220393454,220393455,220393457,220393460,220393467,220393476,220393466,220396930,0,220396932,220396934,220396945,1,2,3,10,9,-1,3464,-220396930,220396932,2,11,12,3491
55,220393479,220393480,220393482,220393485,220393491,220393492,220393489,220397041,0,220397048,220397050,220397062,1,2,3,9,1,-2,3552,-220397041,220397048,2,12,10,3583
56,220486859,220486860,220486862,220486869,220486876,220486885,220486877,220490183,0,220490186,220490188,220490193,1,2,7,14,9,1,3306,-220490183,220490186,2,5,18,3334
57,220486865,220486866,220486878,220486881,220486887,220486900,220486895,220490323,0,220490325,220490327,220490331,1,12,3,9,13,8,3428,-220490323,220490325,2,4,30,3466
58,220486888,220486889,220486891,220486895,220486901,220486932,220486912,220490446,0,220490449,220490451,220490456,1,2,4,10,31,11,3534,-220490446,220490449,2,5,24,3568
59,220486903,220486904,220486906,220486910,220486916,220486925,220486915,220490528,0,220490533,220490534,220490541,1,2,4,10,9,-1,3613,-220490528,220490533,1,7,12,3638
60,222305600,222305600,222305602,222305612,222305624,222305626,222305621,222308834,0,222308837,222308840,222308845,0,2,10,22,2,-3,3213,-222308834,222308837,3,5,21,3245
61,222305606,222305606,222305628,222305631,222305638,222305654,222305644,222309074,0,222309078,222309080,222309085,0,22,3,10,16,6,3430,-222309074,222309078,2,5,38,3479
62,222305660,222305663,222305676,222305679,222305685,222305700,222305694,222309331,0,222309337,222309339,222309350,3,13,3,9,15,9,3637,-222309331,222309337,2,11,34,3690
63,222305660,222305661,222305663,222305667,222305674,222305683,222305672,222309191,0,222309197,222309199,222309205,1,2,4,11,9,-2,3519,-222309191,222309197,2,6,12,3545
64,222393757,222393758,222393760,222393765,222393773,222393783,222393773,222397195,0,222397197,222397200,222397204,1,2,5,13,10,0,3422,-222397195,222397197,3,4,16,3447
65,222393788,222393790,222393802,222393806,222393812,222393837,222393819,222397350,0,222397355,222397357,222397369,2,12,4,10,25,7,3531,-222397350,222397355,2,12,31,3581
66,222393788,222393789,222393791,222393794,222393801,222393809,222393802,222397344,0,222397346,222397348,222397354,1,2,3,10,8,1,3542,-222397344,222397346,2,6,14,3566
67,222393813,222393814,222393814,222393817,222393823,222393834,222393822,222397472,0,222397478,222397480,222397487,1,0,3,9,11,-1,3650,-222397472,222397478,2,7,9,3674
68,222393843,222393845,222393847,222393850,222393855,222393863,222393855,222397477,0,222397487,222397489,222397495,2,2,3,8,8,0,3622,-222397477,222397487,2,6,12,3652
69,222487149,222487150,222487152,222487159,222487166,222487175,222487167,222490547,0,222490550,222490552,222490557,1,2,7,14,9,1,3380,-222490547,222490550,2,5,18,3408
70,222487183,222487184,222487186,222487190,222487197,222487204,222487195,222490777,0,222490781,222490783,222490788,1,2,4,11,7,-2,3582,-222490777,222490781,2,5,12,3605
71,222487187,222487188,222487198,222487201,222487207,222487236,222487212,222490965,0,222490967,222490969,222490977,1,10,3,9,29,5,3753,-222490965,222490967,2,8,25,3790
72,222487197,222487197,222487208,222487211,222487217,222487225,222487216,222491081,0,222491083,222491085,222491093,0,11,3,9,8,-1,3865,-222491081,222491083,2,8,19,3896
73,223906976,223906977,223906980,223906989,223907001,223907003,223906999,223910366,0,223910369,223910372,223910377,1,3,9,21,2,-2,3367,-223910366,223910369,3,5,23,3401
74,223959712,223959713,223959715,223959719,223959726,223959727,223959726,223963022,0,223963027,223963030,223963034,1,2,4,11,1,0,3296,-223963022,223963027,3,4,14,3322
